title,link,no,district,area,price,amount,layout,three
嘉汇环球广场,https://jn.ke.com/xiaoqu/4511059362784/,4511059362784,天桥,北园大街,7735,54,1室1厅:52,False
北刘新区,https://jn.ke.com/xiaoqu/4511100898999/,4511100898999,天桥,馆驿街,16120,27,2室1厅:69.83,False
海尔绿城全运村麗园,https://jn.ke.com/xiaoqu/4517812874365674/,4517812874365674,历下,奥体中心,41634,1,4室1厅:238.32,False
和平路16号,https://jn.ke.com/xiaoqu/457489319874349/,457489319874349,历下,文化东路,27786,16,3室1厅:88.62,True
岔路街小区1区,https://jn.ke.com/xiaoqu/458053746839945/,458053746839945,市中,岔路街,17396,55,2室1厅:70.86,False
臧家屯小区,https://jn.ke.com/xiaoqu/4511058574339/,4511058574339,天桥,凤凰山,12268,21,1室1厅:45.68,False
华润置地公元九里,https://jn.ke.com/xiaoqu/4520032209619720/,4520032209619720,市中,兴隆,0,0,,False
海尔绿城全运村玉兰公寓,https://jn.ke.com/xiaoqu/456963898363322/,456963898363322,历下,奥体中心,16323,15,,False
历山路36号,https://jn.ke.com/xiaoqu/458096866643163/,458096866643163,历下,山大路,20800,8,2室1厅:74.23,False
西苑天发景润园,https://jn.ke.com/xiaoqu/4511058379112/,4511058379112,天桥,无影山,16086,6,3室2厅:139.11,True
title,link,no,district,area,price,amount,layout,three
万象新天三区,https://jn.ke.com/xiaoqu/4511059728295/,4511059728295,历城,王舍人,14104,33,3室2厅:114,True
世佳戎居,https://jn.ke.com/xiaoqu/4511060092026/,4511060092026,槐荫,段店,13005,25,2室1厅:70.58,False
高新万达广场,https://jn.ke.com/xiaoqu/457416502825567/,457416502825567,高新,国际会展中心,11056,68,2室1厅:66.5,False
御华嘉苑,https://jn.ke.com/xiaoqu/457621106742261/,457621106742261,历下,化纤厂路,18666,13,3室2厅:117.89,True
恒大睿城,https://jn.ke.com/xiaoqu/4513466483568943/,4513466483568943,市中,白马山,12697,63,3室2厅:127.63,True
伟东白金瀚宫三期,https://jn.ke.com/xiaoqu/4511060554557/,4511060554557,市中,伟东,21022,31,3室2厅:163.18,True
景和山庄,https://jn.ke.com/xiaoqu/456945011936359/,456945011936359,历城,建筑大学,16655,28,3室2厅:144.11,True
燕子山小区东区,https://jn.ke.com/xiaoqu/4511058192596/,4511058192596,历下,文化东路,27145,34,3室1厅:90,True
甸柳七区,https://jn.ke.com/xiaoqu/4511058199536/,4511058199536,历下,甸柳,27252,62,3室1厅:87.14,True
明珠花园,https://jn.ke.com/xiaoqu/456967177522199/,456967177522199,历下,姚家,22388,31,3室2厅:139,True
鸿建花园,https://jn.ke.com/xiaoqu/4511060491449/,4511060491449,市中,建设路,16368,25,3室2厅:131.74,True
绿地新里梵尔赛公馆二期,https://jn.ke.com/xiaoqu/456945379462476/,456945379462476,天桥,泺口,13842,32,3室1厅:125.47,True
英雄山路130号,https://jn.ke.com/xiaoqu/457013219709860/,457013219709860,市中,七里山,19453,18,3室1厅:74.63,True
济南机床一厂郎茂山北宿舍,https://jn.ke.com/xiaoqu/4511060010528/,4511060010528,市中,郎茂山,14172,73,2室1厅:73.13,False
甸柳四区,https://jn.ke.com/xiaoqu/4511058199678/,4511058199678,历下,甸柳,27849,30,3室1厅:85.49,True
二七中街,https://jn.ke.com/xiaoqu/457099821601686/,457099821601686,市中,二七新村,14126,46,3室2厅:99.25,True
聚贤新区南区,https://jn.ke.com/xiaoqu/4511058772377/,4511058772377,天桥,馆驿街,16137,29,2室1厅:56.88,False
郎茂山四区,https://jn.ke.com/xiaoqu/456940131078557/,456940131078557,市中,郎茂山,12371,108,3室1厅:73.69,True
茗筑华府,https://jn.ke.com/xiaoqu/456963258471032/,456963258471032,历下,化纤厂路,19586,11,2室2厅:95.43,False
银丰唐郡桂花园,https://jn.ke.com/xiaoqu/457619910840876/,457619910840876,历城,唐冶,18049,33,2室1厅:94.5,False
幸福逸居,https://jn.ke.com/xiaoqu/4511059062478/,4511059062478,天桥,水屯,13243,41,1室1厅:56.77,False
凤凰山庄天桥,https://jn.ke.com/xiaoqu/4511058549395/,4511058549395,天桥,凤凰山,13589,34,3室1厅:102.45,True
银丰唐郡玫瑰园,https://jn.ke.com/xiaoqu/4514575989435649/,4514575989435649,历城,唐冶,19554,13,3室2厅:100.76,True
卧龙花园一区,https://jn.ke.com/xiaoqu/457506518618565/,457506518618565,市中,泉景卧龙区,24535,34,2室1厅:101.34,False
山东省交通规划设计院宿舍,https://jn.ke.com/xiaoqu/4511058376980/,4511058376980,天桥,无影山,13182,16,3室2厅:114.77,True
发祥福邸,https://jn.ke.com/xiaoqu/456988867318173/,456988867318173,天桥,馆驿街,22640,23,3室2厅:142.5,True
中海国际御山华府西区,https://jn.ke.com/xiaoqu/457418560917254/,457418560917254,市中,二环南路,21156,17,4室2厅:141.55,False
麓秀山庄,https://jn.ke.com/xiaoqu/457424405943043/,457424405943043,市中,郎茂山,14033,6,2室2厅:97.65,False
中联花园环山路148号,https://jn.ke.com/xiaoqu/4511057969347/,4511057969347,历下,环山,25647,12,3室2厅:157.24,True
黄屯小区四区,https://jn.ke.com/xiaoqu/4511058375546/,4511058375546,天桥,长途汽车站,13223,74,2室1厅:60,False
title,link,no,district,area,price,amount,layout,three
中海国际尚湖央邸,https://jn.ke.com/xiaoqu/457418327084199/,457418327084199,市中,二环南路,19439,36,4室2厅:164.19,False
德裕家园一区,https://jn.ke.com/xiaoqu/457511279939175/,457511279939175,槐荫,西市场,14878,109,3室2厅:109.99,True
保利海德公馆,https://jn.ke.com/xiaoqu/456944705491692/,456944705491692,历城,祝甸,19196,78,2室2厅:82.56,False
燕柳园,https://jn.ke.com/xiaoqu/4511058174490/,4511058174490,历下,甸柳,28811,34,3室2厅:116.65,True
中海国际社区,https://jn.ke.com/xiaoqu/456950931672359/,456950931672359,市中,二环南路,23947,21,3室2厅:94.87,True
新世界阳光花园东区,https://jn.ke.com/xiaoqu/4511060448142/,4511060448142,槐荫,和谐广场,20122,107,3室2厅:91.35,True
中海国际雍景郡,https://jn.ke.com/xiaoqu/457418022472845/,457418022472845,市中,二环南路,17830,59,2室2厅:96.54,False
济南市公安局宿舍,https://jn.ke.com/xiaoqu/4511059959566/,4511059959566,市中,泉景卧龙区,22141,36,2室2厅:107.92,False
铁路南苑小区,https://jn.ke.com/xiaoqu/4511059583588/,4511059583588,市中,二环南路,15270,135,2室2厅:104.27,False
建大小区,https://jn.ke.com/xiaoqu/4511059127193/,4511059127193,历城,建筑大学,27806,75,3室2厅:95,True
香桔市,https://jn.ke.com/xiaoqu/457442823656038/,457442823656038,槐荫,营市街,14171,105,1室1厅:44.14,False
福景佳苑一期,https://jn.ke.com/xiaoqu/458055163728526/,458055163728526,市中,二环南路,19078,62,3室2厅:150.44,True
新城香溢紫郡,https://jn.ke.com/xiaoqu/456945549070999/,456945549070999,历城,王舍人,14496,27,3室2厅:97.89,True
万象新天哈佛郡,https://jn.ke.com/xiaoqu/4520029412968927/,4520029412968927,历城,王舍人,13606,82,2室2厅:91.12,False
康桥颐东,https://jn.ke.com/xiaoqu/457171822333662/,457171822333662,高新,奥体中路,23374,27,2室1厅:89.69,False
乐山小区,https://jn.ke.com/xiaoqu/4511058741522/,4511058741522,市中,南上山街,29814,146,2室1厅:46.93,False
绿地中央广场四区,https://jn.ke.com/xiaoqu/4510114284925622/,4510114284925622,槐荫,西客站,13118,42,2室2厅:96.1,False
银丰花园,https://jn.ke.com/xiaoqu/457008869166878/,457008869166878,市中,十六里河,21652,82,2室2厅:108.62,False
美里新居,https://jn.ke.com/xiaoqu/4511057977375/,4511057977375,槐荫,美里湖,12351,184,2室2厅:75.79,False
京鲁山庄,https://jn.ke.com/xiaoqu/4511059520674/,4511059520674,市中,二环南路,15147,75,2室2厅:98.49,False
银丰唐郡紫薇园,https://jn.ke.com/xiaoqu/4515232247040896/,4515232247040896,历城,唐冶,13938,79,2室2厅:88.36,False
世纪佳园,https://jn.ke.com/xiaoqu/4511060478353/,4511060478353,市中,建设路,17335,45,2室2厅:88.31,False
中垠雅苑,https://jn.ke.com/xiaoqu/457349908811627/,457349908811627,高新,齐鲁软件园,22977,20,3室2厅:104.77,True
鲁能领秀城中央公园西三区,https://jn.ke.com/xiaoqu/4511059651771/,4511059651771,市中,领秀城,27456,42,3室2厅:111.43,True
闵子骞路,https://jn.ke.com/xiaoqu/458600565067730/,458600565067730,历城,洪家楼,18293,144,3室1厅:76,True
鑫源山庄,https://jn.ke.com/xiaoqu/4511059526548/,4511059526548,历下,旅游路,29847,11,3室2厅:131.46,True
恒大滨河左岸,https://jn.ke.com/xiaoqu/4513691167715700/,4513691167715700,天桥,盖家沟,11206,189,3室2厅:99.1,True
颐馨苑,https://jn.ke.com/xiaoqu/4511059514771/,4511059514771,历下,奥体中心,31086,5,4室2厅:183.1,False
外海西子城市花园,https://jn.ke.com/xiaoqu/4511057921778/,4511057921778,槐荫,匡山区,12762,40,2室2厅:90.01,False
黄金时代,https://jn.ke.com/xiaoqu/4511059513358/,4511059513358,高新,齐鲁软件园,18798,107,1室1厅:52.01,False
title,link,no,district,area,price,amount,layout,three
水晶小区,https://jn.ke.com/xiaoqu/4511058573952/,4511058573952,天桥,长途汽车站,14118,17,2室2厅:88.31,False
交通厅宿舍,https://jn.ke.com/xiaoqu/4511059037823/,4511059037823,天桥,长途汽车站,12764,13,3室0厅:75.37,True
荣泰小区南区,https://jn.ke.com/xiaoqu/4511059891661/,4511059891661,天桥,堤口路,12770,30,3室2厅:122.6,True
万科麓公馆,https://jn.ke.com/xiaoqu/4516865456851015/,4516865456851015,高新,齐鲁软件园,13470,35,1室1厅:29.75,False
汉峪金谷,https://jn.ke.com/xiaoqu/4520020804859460/,4520020804859460,历城,汉峪,14721,43,,False
重华苑,https://jn.ke.com/xiaoqu/457894455824486/,457894455824486,市中,阳光舜城,21537,23,4室2厅:173,False
文化东路76号,https://jn.ke.com/xiaoqu/458079742348474/,458079742348474,历下,文化东路,26003,16,2室2厅:75.54,False
玺园,https://jn.ke.com/xiaoqu/4511059549242/,4511059549242,高新,汉峪,29520,7,3室2厅:154,True
舜承苑,https://jn.ke.com/xiaoqu/4511059946682/,4511059946682,槐荫,南辛庄,15586,22,3室1厅:216.77,True
万达广场华景苑,https://jn.ke.com/xiaoqu/4511100853652/,4511100853652,市中,万达广场,26017,8,3室2厅:237.56,True
铁路玉函四区,https://jn.ke.com/xiaoqu/4511100907227/,4511100907227,市中,玉函,13712,36,2室1厅:63.3,False
海信九麓府,https://jn.ke.com/xiaoqu/4513671928179802/,4513671928179802,天桥,天桥工业园,12166,6,3室1厅:105.04,True
兴源佳苑,https://jn.ke.com/xiaoqu/4514126934690736/,4514126934690736,槐荫,西客站,11088,15,1室1厅:46.86,False
小纬四路,https://jn.ke.com/xiaoqu/457014176796055/,457014176796055,市中,经五路,38737,37,2室0厅:46.4,False
华森碧云天,https://jn.ke.com/xiaoqu/4511058170863/,4511058170863,历下,姚家,17916,27,4室2厅:147,False
黄屯小区一区,https://jn.ke.com/xiaoqu/4511058365046/,4511058365046,天桥,长途汽车站,12810,46,1室1厅:36.85,False
鹭鸣苑,https://jn.ke.com/xiaoqu/4511060000038/,4511060000038,市中,王官庄,12393,18,3室2厅:123.01,True
阳光舜城中区五区,https://jn.ke.com/xiaoqu/4511060044850/,4511060044850,市中,阳光舜城,18421,28,3室1厅:134.32,True
东方御景,https://jn.ke.com/xiaoqu/4511059243957/,4511059243957,天桥,水屯,15583,20,2室2厅:90.04,False
红山圣都,https://jn.ke.com/xiaoqu/4511059632144/,4511059632144,历下,浆水泉区,27922,15,3室2厅:141.16,True
银丰唐郡牡丹园,https://jn.ke.com/xiaoqu/4511059720003/,4511059720003,历城,唐冶,17350,15,2室2厅:93.83,False
羊头峪东沟,https://jn.ke.com/xiaoqu/457125401612257/,457125401612257,历下,文化东路,23363,17,1室1厅:48.51,False
福泰新都城,https://jn.ke.com/xiaoqu/457419003153725/,457419003153725,章丘,章丘市区,8629,87,3室2厅:137.35,True
银座晶都国际,https://jn.ke.com/xiaoqu/457487178682538/,457487178682538,市中,趵突泉,15580,83,3室2厅:146.5,True
吉尔西苑,https://jn.ke.com/xiaoqu/4511059813556/,4511059813556,槐荫,腊山,12856,44,2室1厅:64.97,False
槐村街7到9号,https://jn.ke.com/xiaoqu/4511060460472/,4511060460472,槐荫,中大槐树,12661,51,3室1厅:87.09,True
盛基汇景,https://jn.ke.com/xiaoqu/458303779524468/,458303779524468,历下,环山,26049,6,5室2厅:188.24,False
甸柳庄,https://jn.ke.com/xiaoqu/4511057931381/,4511057931381,历下,甸柳,17596,14,2室1厅:75.42,False
太平洋小区东区,https://jn.ke.com/xiaoqu/4511059389742/,4511059389742,天桥,泺口,12168,32,2室1厅:69.95,False
燕玺台,https://jn.ke.com/xiaoqu/456945845031814/,456945845031814,历下,燕山,28008,1,3室2厅:110,True
title,link,no,district,area,price,amount,layout,three
泺安家园,https://jn.ke.com/xiaoqu/4511059289871/,4511059289871,天桥,泺口,11916,31,2室2厅:95.36,False
万达广场豪景苑,https://jn.ke.com/xiaoqu/4511100853522/,4511100853522,市中,万达广场,26819,9,3室1厅:237.13,True
洪山苑,https://jn.ke.com/xiaoqu/4511267844877497/,4511267844877497,历下,浆水泉区,29431,6,2室2厅:93,False
泉世界壹品,https://jn.ke.com/xiaoqu/457196149297333/,457196149297333,历城,济钢,12938,6,3室2厅:107.12,True
经十路17923号,https://jn.ke.com/xiaoqu/458191697235616/,458191697235616,历下,文化西路,25787,12,2室1厅:58.97,False
刘长山路24号,https://jn.ke.com/xiaoqu/456968622723378/,456968622723378,槐荫,阳光100区,16013,13,2室2厅:93.65,False
长盛小区南区一区,https://jn.ke.com/xiaoqu/458141295333063/,458141295333063,历下,东关,17658,32,2室2厅:108.46,False
华丰居,https://jn.ke.com/xiaoqu/4511058170772/,4511058170772,历下,姚家,20710,11,2室1厅:89.54,False
